order_id,order_date,customer_email,customer_name,product_ean,product_name,qty,unit_price,payment_method,channel
WEB-900001,2025-01-01,compras@bittencourt483.com.br,Distribuidora Ouro 483,7899916591893,Desinfetante 1L Delta,8,9.39,pix,b2b_web
WEB-900002,2025-01-01,compras@ferreira217.com.br,Distrib. Ouro 217,7893636459112,Isotônico 500ml Campo Verde,4,34.49,cartao_credito,b2b_web
WEB-900003,2025-01-01,compras@nogueira80.com.br,Merc. Nogueira,7891025346715,Talher Descartável Bom Preço,5,36.84,pix,b2b_web
WEB-900004,2025-01-01,compras@andrade196.com.br,Merc. Central 196,7897756439474,Óleo de Soja 900ml Real,4,12.2,boleto,b2b_web
WEB-900005,2025-01-01,compras@oliveira87.com.br,Padaria Estrela 087,7896028005263,Sal Refinado 1kg Primor,9,49.53,cartao_credito,b2b_web
WEB-900006,2025-01-01,compras@silva495.com.br,Empório Bom Dia 495,7892050808360,Molho de Tomate 340g Bom Preço,3,12.89,cartao_credito,b2b_web
WEB-900007,2025-01-01,compras@souza399.com.br,Rei do Atacado 399,7898812679698,Iogurte 170g Primor,11,67.33,pix,b2b_web
WEB-900008,2025-01-01,compras@costa352.com.br,Mercadinho Popular 352,7894742237298,Sal Refinado 1kg Vitória,11,5.53,cartao_credito,b2b_web
WEB-900009,2025-01-01,compras@ferreira187.com.br,Merc. Central 187,7891592571732,Sabonete 90g Aurora,3,72.77,pix,b2b_web
WEB-900010,2025-01-01,compras@souza126.com.br,mercado do zé 126,7898347388836,Sal Refinado 1kg Real,3,52.61,boleto,b2b_web
WEB-900011,2025-01-01,compras@souza466.com.br,mercadinho popular 466,7891606621248,Limpador Multiuso 500ml Bom Preço,13,20.33,pix,b2b_web
WEB-900012,2025-01-01,compras@costa498.com.br,Super Econômico 498,7898563711418,Pão de Forma 500g Campo Verde,5,39.46,pix,b2b_web
WEB-900013,2025-01-01,compras@do vale368.com.br,EMPORIO DO VALE,7898897616397,Sabonete 90g Vitória,10,57.17,boleto,b2b_web
WEB-900014,2025-01-02,compras@rezende170.com.br,Emporio Bom Dia 170,7894055080956,Feijão Carioca 1kg Campo Verde,10,12.34,boleto,b2b_web
WEB-900015,2025-01-02,compras@nogueira80.com.br,Merc. Central 080,7896357164228,Prato Descartável 15cm Bom Preço,6,15.0,boleto,b2b_web
WEB-900016,2025-01-02,compras@oliveira475.com.br,distribuidora ouro 475,7897598667776,Detergente Neutro 500ml Bom Preço,6,20.17,cartao_credito,b2b_web
WEB-900017,2025-01-02,compras@andrade294.com.br,empoio andrade - me,7896166356760,Papel Toalha 2un Delta,8,9.03,cartao_credito,b2b_web
WEB-900018,2025-01-02,compras@bittencourt99.com.br,Supermercado Bittencourt,7897321652895,Suco Néctar 1L Real,2,11.08,pix,b2b_web
WEB-900019,2025-01-02,compras@bittencourt480.com.br,mercadinho popular 480,7892050808360,Molho de Tomate 340g Bom Preço,2,11.46,boleto,b2b_web
WEB-900020,2025-01-02,compras@nogueira80.com.br,Merc. Central 080,7893197219538,Esponja Multiuso Bom Preço,5,57.37,boleto,b2b_web
WEB-900021,2025-01-02,compras@ferreira407.com.br,rei do atacado 407,7895226005990,Refresco em Pó 30g Primor,15,23.9,boleto,b2b_web
WEB-900022,2025-01-02,compras@rezende403.com.br,Distrib. Ouro 403,7896964726369,Açúcar Refinado 1kg Delta,4,41.25,boleto,b2b_web
WEB-900023,2025-01-02,compras@oliveira81.com.br,Casa da Cesta 081,7897141264001,Pão de Forma 500g Delta,6,27.26,boleto,b2b_web
WEB-900024,2025-01-02,compras@bittencourt74.com.br,comercio de alimentos bittencourt ltda,7896365440666,Leite Integral 1L Primor,15,58.51,cartao_credito,b2b_web
WEB-900025,2025-01-02,compras@oliveira83.com.br,Casa da Cesta 083,7899285147493,Café Torrado 500g Vitória,1,8.06,cartao_credito,b2b_web
WEB-900026,2025-01-02,compras@rezende453.com.br,SUPERMERCADO REZENDE,7891171585068,Achocolatado 400g Vitória,1,50.66,pix,b2b_web
WEB-900027,2025-01-02,compras@ferreira153.com.br,COMERCIO DE ALIMENTOS FERREIRA,7895913000789,"Água Mineral 1,5L Delta",3,10.79,boleto,b2b_web
WEB-900028,2025-01-02,compras@almeida111.com.br,,7892146527076,Sabão em Pó 1kg Bom Preço,4,45.01,cartao_credito,b2b_web
WEB-900029,2025-01-02,compras@almeida111.com.br,Empório Bom Dia 111,7898207159149,Arroz T1 5kg Aurora,14,50.51,cartao_credito,b2b_web
WEB-900030,2025-01-02,compras@oliveira391.com.br,distribuidora ouro 391,7892376879532,Talher Descartável Campo Verde,4,28.56,pix,b2b_web
WEB-900031,2025-01-02,compras@oliveira250.com.br,,7898728552962,Sabão em Barra 200g Delta,2,16.45,boleto,b2b_web
WEB-900032,2025-01-03,compras@bittencourt74.com.br,super economico 074,7897780456430,Talher Descartável Primor,1,11.54,pix,b2b_web
WEB-900033,2025-01-03,compras@oliveira250.com.br,Rei do Atacado 250,7894764228410,"Água Mineral 1,5L Delta",3,34.89,boleto,b2b_web
WEB-900034,2025-01-03,compras@oliveira87.com.br,Padaria Estrela 087,7896709066637,Shampoo 350ml Bom Preço,5,53.83,cartao_credito,b2b_web
WEB-900035,2025-01-03,compras@pereira497.com.br,Empório Perira,7893645779614,Molho de Tomate 340g Vitória,4,51.0,pix,b2b_web
WEB-900036,2025-01-03,compras@do vale122.com.br,Merc. Central 122,7893479601907,Cereal Matinal 300g Campo Verde,1,15.57,pix,b2b_web
WEB-900037,2025-01-03,compras@costa18.com.br,Super Econômico 018,7893716275977,Refrigerante Cola 2L Campo Verde,4,16.15,cartao_credito,b2b_web
WEB-900038,2025-01-04,compras@do vale122.com.br,Merc. Central 122,7895580278665,Suco Néctar 1L Aurora,1,16.6,pix,b2b_web
WEB-900039,2025-01-04,compras@oliveira250.com.br,Rei do Atacado 250,7896740951039,Desodorante Aerossol Bom Preço,2,47.05,boleto,b2b_web
WEB-900040,2025-01-04,compras@oliveira83.com.br,Supermercado Oliveira,7898120186314,Talher Descartável Vitória,1,22.46,pix,b2b_web
WEB-900041,2025-01-04,compras@souza466.com.br,Mercadinho Popular 466,7891446572823,Pão de Forma 500g Real,20,29.92,boleto,b2b_web
